i_factor,sample,blockNumber,timeStamp,hash,nonce,blockHash,transactionIndex,from,to,value,gas,gasPrice,isError,txreceipt_status,input,contractAddress,cumulativeGasUsed,gasUsed,confirmations,methodId,functionName
1,sample-3,17455863,1686474227,0x3122771a5249911c11ce9a731eb25c6c6b498323c0b21e74f4d62c1f27c99728,3312,0xf95b242682b09aecf31bc6813b590b6f7eaa404e23f200abb0cdd5e4f193ad31,98,0x63605e53d422c4f1ac0e01390ac59aaf84c44a51,0x4b19c70da4c6fa4baa0660825e889d2f7eabc279,0,148734,18666306173,0,1,0x23b872dd00000000000000000000000075a549216f87559c6a72b6c9113a0f77a293a6ec0000000000000000000000009fa7bb759641fcd37fe4ae41f725e0f653f2c7260000000000000000000000000000000000000000000016e06d3ad34cf28dc04e,,6204868,73704,3386753,0x23b872dd,"transferFrom(address _from, address _to, uint256 _value)"
1,sample-3,19457035,1710708467,0xd99385eec416672ad06fa5a0db7e7b22010cfeaa5285a828b334bbb62a54105a,17,0xa5629f52b0048fee3fa6076e0ddb506b66b9600b2fa06994a91af8d8986ae1a6,191,0x2a54139010f169f45aacc1c947cc80b588fb1467,0x4b19c70da4c6fa4baa0660825e889d2f7eabc279,0,68498,34183143339,0,1,0x39509351000000000000000000000000fb87c8d63dafc1df92dbe49a234cc0c2f970ed2900000000000000000000000000000d4c71c39c8a4037de50aec2272252fe9c38,,16065996,54002,1385581,0x39509351,"increaseAllowance(address spender, uint256 value)"
1,sample-4,16421619,1673899427,0x461a3c5f28cce1cc5722fb86bb3c6a6b8f94b5c5e234b9a89f2e1baed4cd1c3a,66425,0x00827e14c77fd3133741b0a94053fc1a2ef1121cded036e87add44190c096ca5,74,0xd54e4f8a55247487dd7c8c59f14ee5c0c2889477,0x4b19c70da4c6fa4baa0660825e889d2f7eabc279,0,81331,27411228473,0,1,0x095ea7b30000000000000000000000001111111254fb6c44bac0bed2854e76f90643097dffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff,,4703165,53871,4420997,0x095ea7b3,"approve(address _spender, uint256 _value)"
1,sample-4,19300690,1708816871,0x42e7d0846915e182a70ee557feff662b4cc77bd14710e4a4175e0a8efb1608a0,28806,0xb6972c8d0768c82055dc8a9edae72389e76d659795e219a183fb715e48d99be6,163,0x13307b8854a95946b54a904100afd0767a7a577b,0x4b19c70da4c6fa4baa0660825e889d2f7eabc279,0,64880,25136985313,0,1,0xa9059cbb0000000000000000000000000d0707963952f2fba59dd06f2b425ace40b492fe00000000000000000000000000000000000000000001aee6838cbdb80c875e8f,,14178669,43880,1541926,0xa9059cbb,"transfer(address _to, uint256 _value)"
1,sample-4,17455863,1686474227,0x3122771a5249911c11ce9a731eb25c6c6b498323c0b21e74f4d62c1f27c99728,3312,0xf95b242682b09aecf31bc6813b590b6f7eaa404e23f200abb0cdd5e4f193ad31,98,0x63605e53d422c4f1ac0e01390ac59aaf84c44a51,0x4b19c70da4c6fa4baa0660825e889d2f7eabc279,0,148734,18666306173,0,1,0x23b872dd00000000000000000000000075a549216f87559c6a72b6c9113a0f77a293a6ec0000000000000000000000009fa7bb759641fcd37fe4ae41f725e0f653f2c7260000000000000000000000000000000000000000000016e06d3ad34cf28dc04e,,6204868,73704,3386753,0x23b872dd,"transferFrom(address _from, address _to, uint256 _value)"
1,sample-4,18971264,1704825791,0x44bc91d8f90e2766650f9520c31a42523550778bfce3242180d10669bc1494e4,32,0x47ea36373c6313f069cc983e7c53a6914b627391d5377fd9ccb670177cc9937b,67,0x029669f3366203d2bdd756468f47faca18595d5e,0x4b19c70da4c6fa4baa0660825e889d2f7eabc279,0,65415,19389248454,0,1,0x3950935100000000000000000000000063e7e75297001396d086700e40bc9aae2a883c81ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff,,4373272,54158,1871352,0x39509351,"increaseAllowance(address spender, uint256 value)"
1,sample-5,16724070,1677555851,0x2a04db9717fc7cba7a4097ffe925d40eec1b18c55f810a1409d0deb8625acb1c,2,0x073c3751429ae9724c939449b596dc762404c49a964a31a927e1f835373a6796,63,0x2d2fb6e555a1a341be41525fd2457b377d94ff97,0x4b19c70da4c6fa4baa0660825e889d2f7eabc279,0,64993,18900000000,0,1,0x095ea7b3000000000000000000000000000000000022d473030f116ddee9f6b43ac78ba3ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff,,6529207,53811,4118546,0x095ea7b3,"approve(address _spender, uint256 _value)"
1,sample-5,17694793,1689375311,0xff36029374b500d13f02088278e570ab05ce0b92902c253992fa158d959dbca1,200,0x0b3ce979682fab37508508c2293611490da98675cf56241270ff8a2fa928e792,121,0xe27d2bbcbe9ace9d9317f72c36f28c853b92ed29,0x4b19c70da4c6fa4baa0660825e889d2f7eabc279,0,99484,13722128827,0,1,0xa9059cbb000000000000000000000000a5e13ad3f1d8ef819d7d259873bc1792d4af6c4c000000000000000000000000000000000000000000025b19866ba8379ce5fa53,,10831778,60980,3147823,0xa9059cbb,"transfer(address _to, uint256 _value)"
1,sample-5,17455863,1686474227,0xf382358d3210327479d329964b39ae45b11a5f13f56daea10d3a3a07e41af265,3313,0xf95b242682b09aecf31bc6813b590b6f7eaa404e23f200abb0cdd5e4f193ad31,99,0x63605e53d422c4f1ac0e01390ac59aaf84c44a51,0x4b19c70da4c6fa4baa0660825e889d2f7eabc279,0,148710,18666306173,0,1,0x23b872dd00000000000000000000000075a549216f87559c6a72b6c9113a0f77a293a6ec0000000000000000000000004086d400a17617c4a863c05e5af6139737992cc10000000000000000000000000000000000000000000044a147b079e6d7a940eb,,6273760,68892,3386753,0x23b872dd,"transferFrom(address _from, address _to, uint256 _value)"
1,sample-5,17904848,1691916539,0xd9009c2480158602d62d8219c30004c5d4f0110f38dc75e41f8cf91459efde32,37,0xdaa43a24e6667a4aa2ae94179953dc14656266d4bf8e6a47eda32436506dba99,17,0xf5b4574778d7a58f58c20dc066a9bafa3ccb125b,0x4b19c70da4c6fa4baa0660825e889d2f7eabc279,0,81716,16380927903,0,1,0x3950935100000000000000000000000000002f8d96680e82f1c34727b70ada9c335e0000ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff,,3276577,54122,2937768,0x39509351,"increaseAllowance(address spender, uint256 value)"
