i_factor,sample,blockNumber,blockHash,timeStamp,hash,nonce,transactionIndex,from,to,value,gas,gasPrice,input,methodId,functionName,contractAddress,cumulativeGasUsed,txreceipt_status,gasUsed,confirmations,isError
13,sample-1,18275945,0x37a0ccb53ab2db6fe455241c149302ec20fadb42dbcda7cfbd5104c30c403b90,1696407863,0xb60ce8c3d3610dd4e063c0727f7768cfe226c175f1a288c0a583ff0c6e571316,1737,63,0x2b2a9cd8bceaf092552bad89e19901caad9dd2cf,0xc28b0f274c6ed418d85f9d9cf77c245ada6091dd,0,78390,6951094389,0xa22cb4650000000000000000000000001e0049783f008a0085193e00003d00cd54003c710000000000000000000000000000000000000000000000000000000000000001,0xa22cb465,"setApprovalForAll(address operator, bool authorized)",,5304369,1,51894,2567513,0
13,sample-1,18275893,0x7a5570cdcfcb14fbbeafff4f9ec478f219169f2bc017ace0c76842c97008cf90,1696407239,0xc43f5c7cf045c51177aac6409368348217a903af20ed284055529df97459d5d1,190,158,0xebca4f69da65dedfa8ea9f8b67d97755399286ae,0xc28b0f274c6ed418d85f9d9cf77c245ada6091dd,0,67938,7987427099,0xa22cb4650000000000000000000000001e0049783f008a0085193e00003d00cd54003c710000000000000000000000000000000000000000000000000000000000000001,0xa22cb465,"setApprovalForAll(address operator, bool authorized)",,13191920,1,51894,2567565,0
13,sample-1,18275874,0x4570109effc8407375c8b74e7277a8985ec605b234856a499ea865027aedc2c8,1696406999,0xa84009dc7dfa7c513dee555dd42c6262c0d63cd2eb5ff53fc02266597dc882a9,24,76,0xba1996570dfcd5ae3a74ed64ac0a3d310f3d5fbe,0xc28b0f274c6ed418d85f9d9cf77c245ada6091dd,0,67938,7433895699,0xa22cb4650000000000000000000000001e0049783f008a0085193e00003d00cd54003c710000000000000000000000000000000000000000000000000000000000000001,0xa22cb465,"setApprovalForAll(address operator, bool authorized)",,5824135,1,51894,2567584,0
13,sample-1,18275783,0x046383dc46a3f9028e11c9ef544c3b00181e14c3e0d68fb6c4a7ec83edf4a7c2,1696405907,0x764d7d955a830dfc76a9cef60c03f1d32acbd04f89f73a8d17b4dfc0eb2e9cec,1,36,0xe0825860e0571b6be6137fbcb18c48414f0c5c07,0xc28b0f274c6ed418d85f9d9cf77c245ada6091dd,0,67938,9662589695,0xa22cb4650000000000000000000000001e0049783f008a0085193e00003d00cd54003c710000000000000000000000000000000000000000000000000000000000000001,0xa22cb465,"setApprovalForAll(address operator, bool authorized)",,7057368,1,51894,2567675,0
13,sample-1,18275244,0xb8791ec0f6aa37f29583127020a35370a5387601e044291b596fa55badd62612,1696399403,0x63397088182adf7db6ddb4e5cf5dbe2352325805dfbfa4534c900963ccad2915,461,69,0x5d7f282396b19cd98fa443316c8534ebd2fef8d8,0xc28b0f274c6ed418d85f9d9cf77c245ada6091dd,0,52344,7724436362,0xa22cb465000000000000000000000000ef6f343c16999c0145652cf924bb49cd30bf53f80000000000000000000000000000000000000000000000000000000000000001,0xa22cb465,"setApprovalForAll(address operator, bool authorized)",,10945901,1,51978,2568214,0
13,sample-1,18275198,0x79d4dc855fe9ada1d96cffff244ba205f9bab40918f9e2ae2ef614ee4b8114e6,1696398851,0x9d5c8596dcc710f181db4528baa8d6600791ae9dfc7d96e60f73f34cc6de4fda,27,84,0xce228c4c2bc0890b02f3247f0d780da24cbed695,0xc28b0f274c6ed418d85f9d9cf77c245ada6091dd,0,52344,5758776826,0xa22cb465000000000000000000000000ef6f343c16999c0145652cf924bb49cd30bf53f80000000000000000000000000000000000000000000000000000000000000001,0xa22cb465,"setApprovalForAll(address operator, bool authorized)",,8013036,1,51978,2568260,0
13,sample-1,18275161,0x4fbf993028bea9fea8481635e17c7584ebce9a025776746f02a971aecbc08fa4,1696398407,0xdc6d80be613e0402742693e73b473b50c7db3f583c97ea5d8f85d478f731656c,2836,92,0x6545350d8aa85f46a39dcb64a29e69391d9922b6,0xc28b0f274c6ed418d85f9d9cf77c245ada6091dd,0,78390,5789454358,0xa22cb4650000000000000000000000001e0049783f008a0085193e00003d00cd54003c710000000000000000000000000000000000000000000000000000000000000001,0xa22cb465,"setApprovalForAll(address operator, bool authorized)",,8045568,1,51894,2568297,0
13,sample-1,18275008,0xc6737f6e386953a50f53a3d63cc4f50a77ca0c696e62c8ee78f09d8905d3acaa,1696396559,0x41d5bccefb4608c78b29c3a941bd264b99fd46047a50572e48e9ac27b8e34165,1689,113,0x41c0f1468f2731671a6dbe5135383a28ad47a5b7,0xc28b0f274c6ed418d85f9d9cf77c245ada6091dd,0,67938,5790002379,0xa22cb4650000000000000000000000001e0049783f008a0085193e00003d00cd54003c710000000000000000000000000000000000000000000000000000000000000001,0xa22cb465,"setApprovalForAll(address operator, bool authorized)",,10322868,1,51894,2568450,0
13,sample-1,18274974,0xd50fcafb6c7b7d951f98e6e120276cb80e253e5c0c1c7d66b00f8709e4f2aa46,1696396151,0xfc9f5b01990c9faf5e9e1e652debda917b5b5faee22161e2282c921d14786f69,0,125,0x8d67d57647fbdac1e5b46c94d8a5588b0c3d8eaf,0xc28b0f274c6ed418d85f9d9cf77c245ada6091dd,0,52344,6257469193,0xa22cb4650000000000000000000000002f18f339620a63e43f0839eeb18d7de1e1be4dfb0000000000000000000000000000000000000000000000000000000000000001,0xa22cb465,"setApprovalForAll(address operator, bool authorized)",,12557099,1,51978,2568484,0
13,sample-1,18274927,0x58ee1bc540a774b2624cae0919bea729f379cdbb9b9e0638615d8a7b69aabf51,1696395587,0xe3fc5473f96a0643e0c5446fdbffd3ccec550fe3777cd8067912c73a49501068,780,72,0x157d21d9d33d0b3a06f9c493886b41b236786261,0xc28b0f274c6ed418d85f9d9cf77c245ada6091dd,0,67938,6031531680,0xa22cb4650000000000000000000000001e0049783f008a0085193e00003d00cd54003c710000000000000000000000000000000000000000000000000000000000000001,0xa22cb465,"setApprovalForAll(address operator, bool authorized)",,4579022,1,51894,2568531,0
13,sample-1,18274877,0x309dc4bc6a793009770268bf23d97a8458ace5aacf117a7c64c060b56405c59e,1696394987,0x4f14729112dc019b0655fed6501205a41c1064330e6482a15432ec6fb409ec9d,4119,56,0xda3863583c9fcd8a5d3506d91aaf33157124d1d1,0xc28b0f274c6ed418d85f9d9cf77c245ada6091dd,0,67938,5958093850,0xa22cb4650000000000000000000000001e0049783f008a0085193e00003d00cd54003c710000000000000000000000000000000000000000000000000000000000000001,0xa22cb465,"setApprovalForAll(address operator, bool authorized)",,6808846,1,51894,2568581,0
13,sample-1,18274861,0xd82b236d8ebfd4f73af5982cffef5f088c1279a3161e34c419f9f244bcfd5c75,1696394795,0x7f89e11c8e7bb302f64a6f8a42c49a43b8ca849a8ed2b6518c745e9444f87645,1,52,0x222f373b5cd0e19230aeb0ce032ae662d5eb5a4a,0xc28b0f274c6ed418d85f9d9cf77c245ada6091dd,0,52260,6596433594,0xa22cb4650000000000000000000000001e0049783f008a0085193e00003d00cd54003c710000000000000000000000000000000000000000000000000000000000000001,0xa22cb465,"setApprovalForAll(address operator, bool authorized)",,5840420,1,51894,2568597,0
