i_factor,sample,blockNumber,blockHash,timeStamp,hash,nonce,transactionIndex,from,to,value,gas,gasPrice,input,methodId,functionName,contractAddress,cumulativeGasUsed,txreceipt_status,gasUsed,confirmations,isError
9,sample-1,15509596,0x2ffbfbaf8115ca5916ec5795cc1cb02666af42266dede681a1b6a3a2b30b80ea,1662824805,0xf84c9de3bb407eca35fe0ade95630e158ebf803ddf8e054cbf36eeb709c4bb2b,304,380,0x221acea582cf274cd816b2884cb40566fe0196ed,0x7def9c6b08718cc9e326ccb057b6c384e6788ad0,0,34075,14964385621,0xa22cb4650000000000000000000000001e0049783f008a0085193e00003d00cd54003c710000000000000000000000000000000000000000000000000000000000000000,0xa22cb465,"setApprovalForAll(address operator, bool authorized)",,27841946,1,29193,5333805,0
9,sample-1,15462478,0x36ff7ad9c4c80dcdc0a95ed4f027dc5e89ae7abd30ce4b848f5439e4138ee345,1662167780,0x45fd9034305754a160f072817af357007f5d17a21d5d9366bb5bb2df7b044201,221,114,0x825acd62c9f7631939681d00802e7d58fec19f83,0x7def9c6b08718cc9e326ccb057b6c384e6788ad0,0,51458,17737792768,0xa22cb4650000000000000000000000001e0049783f008a0085193e00003d00cd54003c710000000000000000000000000000000000000000000000000000000000000001,0xa22cb465,"setApprovalForAll(address operator, bool authorized)",,10122119,1,51105,5380923,0
9,sample-1,15459711,0x223095df9719c0a907eb74589c42ba72c003e5549a89a82c2f89e10e16850824,1662129188,0x6e9decfad2fae1b0f1ee828293b9be674d6f50982e567af8430e2192119b5a3b,294,223,0x5bb822302e78c978f3d73cd7565ad92240779cae,0x7def9c6b08718cc9e326ccb057b6c384e6788ad0,0,34075,16020723821,0xa22cb4650000000000000000000000001e0049783f008a0085193e00003d00cd54003c710000000000000000000000000000000000000000000000000000000000000000,0xa22cb465,"setApprovalForAll(address operator, bool authorized)",,16592342,1,29193,5383690,0
9,sample-1,15443619,0xe8dd7020dd2f419a64b9f9f5b7bedecbbea093243659a30dbe157e75dd659486,1661907644,0x705b51a3f172117c90e671ed03908c9cf8192ffe7ac40dfa8270f0c158e290d0,247,309,0x0dff63470b704084aa2d8875eeff755c0d7526b9,0x7def9c6b08718cc9e326ccb057b6c384e6788ad0,0,51458,12104906582,0xa22cb4650000000000000000000000001e0049783f008a0085193e00003d00cd54003c710000000000000000000000000000000000000000000000000000000000000001,0xa22cb465,"setApprovalForAll(address operator, bool authorized)",,21124303,1,51105,5399782,0
9,sample-1,15436978,0xc949d675e1d62c3717b270c03f22b244f136b53d77495cef87df361daae51c91,1661815372,0x6cef3f45937eb5982545af701282b14fe73d7e5e1dbaff64e5354f3eb20a8096,115,154,0x5a2423d444aaa2c6e1ffe049f205798141b7f071,0x7def9c6b08718cc9e326ccb057b6c384e6788ad0,0,51458,8881476268,0xa22cb4650000000000000000000000001e0049783f008a0085193e00003d00cd54003c710000000000000000000000000000000000000000000000000000000000000001,0xa22cb465,"setApprovalForAll(address operator, bool authorized)",,16769210,1,51105,5406423,0
9,sample-1,15429000,0xad3bc299fa7cd9f152e0dce62d82fc2ddc3d534d5338cc416a87062955dc3ab7,1661705907,0xd0429189a92b4e4a2724568212df02878a1ced9abfbce8bd0df022d7ff50e128,134,223,0x2a4765e17ea73ccc3756eb4802787fbda27c1c23,0x7def9c6b08718cc9e326ccb057b6c384e6788ad0,0,34075,8918026082,0xa22cb4650000000000000000000000001e0049783f008a0085193e00003d00cd54003c710000000000000000000000000000000000000000000000000000000000000000,0xa22cb465,"setApprovalForAll(address operator, bool authorized)",,25531266,1,29193,5414401,0
9,sample-1,15428075,0xfbf7a47386277881f0046b75aba961e5c3491be3ee8e9821404490795e96994c,1661693210,0x6a97fada921c3dfd0ef2475db760bfdc254fec44c71bc892062272e060037ac0,27,403,0xf4e201296a04852320eb1f4fce2d8f4b4646cbde,0x7def9c6b08718cc9e326ccb057b6c384e6788ad0,0,51458,5794172247,0xa22cb4650000000000000000000000001e0049783f008a0085193e00003d00cd54003c710000000000000000000000000000000000000000000000000000000000000001,0xa22cb465,"setApprovalForAll(address operator, bool authorized)",,25402117,1,51105,5415326,0
9,sample-1,15419050,0xbf5fc3d7f9262480b1dbf367c0a89e8c9d4138f21cac0b71c3e20f88c66001f6,1661567883,0x45599546a8740511cd3891db55bd6efc6ffdd3ab89526929ea8c32929acc2aed,326,210,0x8a32fe4280738476e061733637d0198cd6318d83,0x7def9c6b08718cc9e326ccb057b6c384e6788ad0,0,34075,7776582667,0xa22cb4650000000000000000000000001e0049783f008a0085193e00003d00cd54003c710000000000000000000000000000000000000000000000000000000000000000,0xa22cb465,"setApprovalForAll(address operator, bool authorized)",,27609322,1,29193,5424351,0
9,sample-1,15403523,0x473d885a1908aa3e92aaca37345e421412bf3e674c2d37b87ccad561378896ef,1661352573,0x1cb3c918850d01f8ea4ca592f633578564a516468972a7b252cb7dd02adc1e55,1038,104,0xac1de2f71d122e5d8597aaabf330a75e31430c25,0x7def9c6b08718cc9e326ccb057b6c384e6788ad0,0,51238,15646600701,0xa22cb465000000000000000000000000f849de01b080adc3a814fabe1e2087475cf2e3540000000000000000000000000000000000000000000000000000000000000000,0xa22cb465,"setApprovalForAll(address operator, bool authorized)",,9455552,1,29277,5439878,0
9,sample-1,15387041,0x9d7dc281916351434fc14a2fa2c9a491a6e17c78559a53d43b02fe3438e88492,1661126498,0x2dfbaf0035524d97b3daa902e60ca8af32e15c34b08e5e00e716f14eaab82cd1,21,160,0xba0af23efa2e0c5c565714481bf3133e939b47e1,0x7def9c6b08718cc9e326ccb057b6c384e6788ad0,0,51458,5262343878,0xa22cb4650000000000000000000000001e0049783f008a0085193e00003d00cd54003c710000000000000000000000000000000000000000000000000000000000000001,0xa22cb465,"setApprovalForAll(address operator, bool authorized)",,19512383,1,51105,5456360,0
